branch_id_1	branch_id_2	branch_id_3	dist_bl	dist_node_num	branch_num_fg_beak	branch_num_fg_fork	branch_num_fg_pink	branch_num_fg_red	branch_num_fg_stem_beak	branch_num_fg_stem_fork	branch_num_fg_stem_pink	branch_num_fg_stem_red	branch_num_fg_stem_tube	branch_num_fg_stem_yellow	branch_num_fg_tube	branch_num_fg_yellow	branch_num_mg_beak	branch_num_mg_fork	branch_num_mg_pink	branch_num_mg_red	branch_num_mg_tube	branch_num_mg_yellow	is_fg_beak	is_fg_fork	is_fg_pink	is_fg_red	is_fg_tube	is_fg_yellow	is_mf_beak	is_mf_fork	is_mf_pink	is_mf_red	is_mf_tube	is_mf_yellow	is_mg_beak	is_mg_fork	is_mg_pink	is_mg_red	is_mg_tube	is_mg_yellow	omegaCany2any	omegaCany2dif	omegaCany2spe	omegaCdif2any	omegaCdif2dif	omegaCdif2spe	omegaCspe2any	omegaCspe2dif	omegaCspe2spe	dNCany2any	dNCany2dif	dNCany2spe	dNCdif2any	dNCdif2dif	dNCdif2spe	dNCspe2any	dNCspe2dif	dNCspe2spe	dSCany2any	dSCany2dif	dSCany2spe	dSCdif2any	dSCdif2dif	dSCdif2spe	dSCspe2any	dSCspe2dif	dSCspe2spe	OCNCoD	OCSCoD	OCN_linreg_residual	OCS_linreg_residual	N_sub_1	N_sub_2	N_sub_3	S_sub_1	S_sub_2	S_sub_3	OCNany2any	OCNany2dif	OCNany2spe	OCNdif2any	OCNdif2dif	OCNdif2spe	OCNspe2any	OCNspe2dif	OCNspe2spe	OCSany2any	OCSany2dif	OCSany2spe	OCSdif2any	OCSdif2dif	OCSdif2spe	OCSspe2any	OCSspe2dif	OCSspe2spe	ECNany2any	ECNany2dif	ECNany2spe	ECNdif2any	ECNdif2dif	ECNdif2spe	ECNspe2any	ECNspe2dif	ECNspe2spe	ECSany2any	ECSany2dif	ECSany2spe	ECSdif2any	ECSdif2dif	ECSdif2spe	ECSspe2any	ECSspe2dif	ECSspe2spe
26	45	52	0.1545	19	3	0	1	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	441.4566	0.4389	12168.9386	0.2389	0.2217	1.8045	457.9422	0.4473	12301.6846	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1042.5781		0.9765	0.0000	8.0020	6.0015	3.8477	5.0185	4.9721	0.5662	3.5727	0.0034	3.5693	0.0001	0.0001	0.0000	3.5726	0.0034	3.5693	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0081	0.0078	0.0003	0.0003	0.0003	0.0000	0.0078	0.0075	0.0003	0.0015	0.0010	0.0004	0.0002	0.0002	0.0000	0.0012	0.0008	0.0004
26	45	111	0.1000	17	3	0	1	0	1	0	1	0	0	0	2	1	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	9213651.1854	inf	57719861.2515	inf	inf	inf	8429541.4917	inf	56914373.5427	233.9164	48.5812	5133.7016	0.0165	0.0000	1.8136	240.7457	50.0411	5170.2991	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	3.9971	inf	0.3705	0.0000	8.0020	6.0015	10.3097	5.0185	4.9721	5.4144	4.9954	0.9997	3.9957	0.0000	0.0000	0.0000	4.9954	0.9997	3.9957	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0214	0.0206	0.0008	0.0006	0.0006	0.0000	0.0207	0.0200	0.0008	0.0051	0.0036	0.0015	0.0006	0.0005	0.0000	0.0045	0.0031	0.0014
26	52	111	0.1311	11	3	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	260.7409	76.2260	4767.9739	0.1087	0.1010	0.9734	273.4940	80.0750	4818.6237	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.5607		-0.0234	0.0000	8.0020	3.8477	10.3097	5.0185	0.5662	5.4144	3.5688	1.0023	2.5665	0.0001	0.0001	0.0000	3.5687	1.0022	2.5665	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0137	0.0131	0.0005	0.0006	0.0006	0.0000	0.0130	0.0125	0.0005	0.0023	0.0016	0.0007	0.0004	0.0004	0.0000	0.0019	0.0013	0.0006
40	45	52	0.1599	23	3	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	437.4679	127.4153	8707.9391	0.1790	0.1665	1.1057	459.3463	133.9405	8863.0788	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.5621		-0.0230	0.0000	8.0012	6.0015	3.8477	2.0608	4.9721	0.5662	3.5725	1.0029	2.5696	0.0001	0.0001	0.0000	3.5725	1.0029	2.5696	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0082	0.0079	0.0003	0.0004	0.0004	0.0000	0.0078	0.0075	0.0003	0.0014	0.0010	0.0004	0.0003	0.0003	0.0000	0.0011	0.0007	0.0003
40	45	111	0.1599	23	3	0	1	0	2	0	1	0	0	0	1	1	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	231.8683	96.1953	3844.6430	0.0107	0.0000	0.8242	242.4363	100.6907	3905.3695	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.5009		-0.6273	0.0000	8.0012	6.0015	10.3097	2.0608	4.9721	5.4144	4.9952	1.9973	2.9978	0.0000	0.0000	0.0000	4.9952	1.9973	2.9978	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0215	0.0208	0.0008	0.0009	0.0009	0.0000	0.0206	0.0198	0.0008	0.0047	0.0035	0.0011	0.0010	0.0009	0.0000	0.0037	0.0026	0.0011
40	52	111	0.0913	9	3	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	258.9243	151.1717	2823.7131	0.1128	0.1051	0.7556	271.0195	158.4512	2861.2373	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7847		-1.0207	0.0000	8.0012	3.8477	10.3097	2.0608	0.5662	5.4144	3.5686	1.9995	1.5691	0.0001	0.0001	0.0000	3.5685	1.9994	1.5691	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0138	0.0132	0.0006	0.0006	0.0006	0.0000	0.0132	0.0126	0.0005	0.0021	0.0015	0.0006	0.0004	0.0004	0.0000	0.0017	0.0011	0.0006
45	52	111	0.1545	19	3	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	342.0740	99.6750	6803.5599	0.1633	0.1527	0.8584	357.2309	104.1879	6925.6757	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.5606		-0.0234	0.0000	6.0015	3.8477	10.3097	4.9721	0.5662	5.4144	3.5687	1.0023	2.5665	0.0001	0.0001	0.0000	3.5687	1.0022	2.5665	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0104	0.0101	0.0004	0.0004	0.0004	0.0000	0.0100	0.0096	0.0004	0.0018	0.0013	0.0005	0.0003	0.0003	0.0000	0.0015	0.0010	0.0005
45	52	120	0.1545	19	3	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	438.2962	127.6067	8730.2413	0.1786	0.1664	0.9974	460.3122	134.1604	8903.4375	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.5634		-0.0227	0.0000	6.0015	3.8477	8.0000	4.9721	0.5662	3.0083	3.5727	1.0026	2.5701	0.0001	0.0001	0.0000	3.5726	1.0025	2.5701	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0082	0.0079	0.0003	0.0004	0.0004	0.0000	0.0078	0.0075	0.0003	0.0012	0.0009	0.0004	0.0002	0.0002	0.0000	0.0010	0.0006	0.0003
45	111	120	0.1186	17	3	0	1	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	233.1180	48.4179	5116.7454	0.0127	0.0000	0.8313	241.9923	50.3032	5196.7454	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.9968		0.3704	0.0000	6.0015	10.3097	8.0000	4.9721	5.4144	3.0083	4.9954	0.9997	3.9957	0.0000	0.0000	0.0000	4.9954	0.9997	3.9957	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0214	0.0206	0.0008	0.0008	0.0008	0.0000	0.0206	0.0199	0.0008	0.0042	0.0030	0.0012	0.0006	0.0006	0.0000	0.0036	0.0025	0.0011
52	111	120	0.1245	12	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	259.7348	75.9962	4659.7090	0.1145	0.1062	1.2517	271.7181	79.6245	4697.2308	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.5605		-0.0235	-0.0000	3.8477	10.3097	8.0000	0.5662	5.4144	3.0083	3.5688	1.0023	2.5664	0.0001	0.0001	0.0000	3.5687	1.0023	2.5664	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0137	0.0132	0.0006	0.0006	0.0006	0.0000	0.0131	0.0126	0.0005	0.0018	0.0013	0.0005	0.0003	0.0003	0.0000	0.0015	0.0010	0.0005
