branch_id_1	branch_id_2	branch_id_3	branch_id_4	dist_bl	dist_node_num	branch_num_fg_beak	branch_num_fg_fork	branch_num_fg_pink	branch_num_fg_red	branch_num_fg_stem_beak	branch_num_fg_stem_fork	branch_num_fg_stem_pink	branch_num_fg_stem_red	branch_num_fg_stem_tube	branch_num_fg_stem_yellow	branch_num_fg_tube	branch_num_fg_yellow	branch_num_mg_beak	branch_num_mg_fork	branch_num_mg_pink	branch_num_mg_red	branch_num_mg_tube	branch_num_mg_yellow	is_fg_beak	is_fg_fork	is_fg_pink	is_fg_red	is_fg_tube	is_fg_yellow	is_mf_beak	is_mf_fork	is_mf_pink	is_mf_red	is_mf_tube	is_mf_yellow	is_mg_beak	is_mg_fork	is_mg_pink	is_mg_red	is_mg_tube	is_mg_yellow	omegaCany2any	omegaCany2dif	omegaCany2spe	omegaCdif2any	omegaCdif2dif	omegaCdif2spe	omegaCspe2any	omegaCspe2dif	omegaCspe2spe	dNCany2any	dNCany2dif	dNCany2spe	dNCdif2any	dNCdif2dif	dNCdif2spe	dNCspe2any	dNCspe2dif	dNCspe2spe	dSCany2any	dSCany2dif	dSCany2spe	dSCdif2any	dSCdif2dif	dSCdif2spe	dSCspe2any	dSCspe2dif	dSCspe2spe	OCNCoD	OCSCoD	OCN_linreg_residual	OCS_linreg_residual	N_sub_1	N_sub_2	N_sub_3	N_sub_4	S_sub_1	S_sub_2	S_sub_3	S_sub_4	OCNany2any	OCNany2dif	OCNany2spe	OCNdif2any	OCNdif2dif	OCNdif2spe	OCNspe2any	OCNspe2dif	OCNspe2spe	OCSany2any	OCSany2dif	OCSany2spe	OCSdif2any	OCSdif2dif	OCSdif2spe	OCSspe2any	OCSspe2dif	OCSspe2spe	ECNany2any	ECNany2dif	ECNany2spe	ECNdif2any	ECNdif2dif	ECNdif2spe	ECNspe2any	ECNspe2dif	ECNspe2spe	ECSany2any	ECSany2dif	ECSany2spe	ECSdif2any	ECSdif2dif	ECSdif2spe	ECSspe2any	ECSspe2dif	ECSspe2spe
4	10	23	48	0.3233	12	4	0	1	2	0	0	0	1	0	2	2	3	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	0.0000	inf	9163.2751	0.0009	1348677.5212	1.8539	0.0074	461.6457	10393.6547	0.0000	1449694.4092	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10566149.3124		0.0002	0.0000	5.9032	17.9840	2.9893	3.0031	8.1763	19.5942	2.0138	6.6616	2.7917	0.0000	2.7917	0.0001	0.0000	0.0001	2.7917	0.0000	2.7917	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0003	0.0000	0.0000	0.0000	0.0000	0.0003	0.0003	0.0000	0.0002	0.0002	0.0000	0.0001	0.0001	0.0000	0.0001	0.0001	0.0000
4	10	23	85	0.3233	13	4	0	1	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	6431.1506	0.4775	925398.4756	2.4009	0.8884	296.5582	7271.9492	0.4236	1011492.5644	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13563.0031		-0.0000	0.0000	5.9032	17.9840	2.9893	3.9948	8.1763	19.5942	2.0138	3.6377	2.7711	0.0002	2.7709	0.0001	0.0000	0.0001	2.7710	0.0002	2.7708	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0004	0.0000	0.0000	0.0000	0.0000	0.0004	0.0004	0.0000	0.0004	0.0003	0.0000	0.0002	0.0002	0.0000	0.0002	0.0002	0.0000
4	10	48	85	0.2764	13	4	0	1	1	0	0	0	1	0	2	1	2	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	31269402.3066	2264.1076	inf	6724.0178	3237.1081	inf	inf	inf	inf	6952.8279	0.5167	1051078.4272	2.3903	1.1567	349.9088	7698.0689	0.4479	1108466.1322	0.0002	0.0002	0.0000	0.0004	0.0004	0.0000	0.0000	0.0000	0.0000	13544.6843	0.0000	-0.0000	0.0000	5.9032	17.9840	3.0031	3.9948	8.1763	19.5942	6.6616	3.6377	2.7790	0.0002	2.7788	0.0001	0.0000	0.0000	2.7789	0.0002	2.7788	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0004	0.0000	0.0000	0.0000	0.0000	0.0004	0.0004	0.0000	0.0012	0.0012	0.0000	0.0008	0.0008	0.0000	0.0005	0.0004	0.0000
4	23	48	85	0.2383	13	4	0	1	2	0	0	0	1	0	1	2	2	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	39738.1159	2.9644	6013702.0955	12.0873	6.0134	1318.1250	44649.5096	2.5866	6515878.1084	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13493.1759		-0.0000	0.0000	5.9032	2.9893	3.0031	3.9948	8.1763	2.0138	6.6616	3.6377	2.8622	0.0002	2.8620	0.0001	0.0000	0.0000	2.8621	0.0002	2.8619	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0001	0.0001	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000
10	23	33	48	0.3233	16	3	0	1	2	0	0	1	1	0	3	2	4	0	0	0	0	0	0	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	0.0000	inf	18503.6243	0.0018	3047207.9627	2.4758	0.0119	611.2134	21846.8767	0.0000	3391767.6739	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10176420.5270		0.0002	0.0000	17.9840	2.9893	3.0000	3.0031	19.5942	2.0138	0.0000	6.6616	2.8877	0.0000	2.8877	0.0001	0.0000	0.0001	2.8877	0.0000	2.8877	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0002	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	23	35	48	0.3233	12	4	0	1	2	0	0	0	1	0	2	2	3	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	0.0000	inf	11551.5876	0.0011	1807720.9903	4.0426	0.0117	758.7935	12805.2617	0.0000	1967875.4980	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10162830.8354		0.0002	0.0000	17.9840	2.9893	4.9740	3.0031	19.5942	2.0138	7.7857	6.6616	2.8806	0.0000	2.8806	0.0001	0.0000	0.0001	2.8805	0.0000	2.8805	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0002	0.0000	0.0000	0.0000	0.0000	0.0002	0.0002	0.0000	0.0002	0.0002	0.0000	0.0001	0.0001	0.0000	0.0001	0.0001	0.0000
10	23	35	85	0.3233	13	4	0	1	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	8148.1655	0.6078	1282749.0244	5.3440	1.6401	673.4834	8881.0230	0.5148	1381724.4682	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13490.7193		-0.0000	0.0000	17.9840	2.9893	4.9740	3.9948	19.5942	2.0138	7.7857	3.6377	2.8588	0.0002	2.8586	0.0002	0.0000	0.0001	2.8586	0.0002	2.8584	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0003	0.0000	0.0000	0.0000	0.0000	0.0003	0.0003	0.0000	0.0004	0.0003	0.0000	0.0002	0.0002	0.0000	0.0002	0.0002	0.0000
10	23	39	48	0.3233	12	4	0	1	2	1	0	1	1	1	2	3	3	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	0.0000	inf	4540.5319	0.0004	714852.7593	0.9290	0.0045	193.2610	5045.3800	0.0000	773116.7879	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10207231.0524		0.0002	0.0000	17.9840	2.9893	12.9847	3.0031	19.5942	2.0138	24.7324	6.6616	2.8815	0.0000	2.8815	0.0001	0.0000	0.0001	2.8815	0.0000	2.8815	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0006	0.0000	0.0001	0.0001	0.0000	0.0006	0.0006	0.0000	0.0005	0.0004	0.0000	0.0002	0.0002	0.0000	0.0002	0.0002	0.0000
10	23	39	85	0.3233	13	4	0	1	1	1	0	1	0	1	1	2	2	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	348079767.7865	24858.7364	inf	90939.1518	37049.6270	inf	inf	inf	inf	3204.9518	0.2387	506052.3688	1.5296	0.6289	182.4134	3499.7694	0.2027	541761.2252	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13512.7056	0.0000	-0.0000	-0.0000	17.9840	2.9893	12.9847	3.9948	19.5942	2.0138	24.7324	3.6377	2.8598	0.0002	2.8596	0.0001	0.0000	0.0001	2.8597	0.0002	2.8595	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0009	0.0009	0.0000	0.0001	0.0001	0.0000	0.0008	0.0008	0.0000	0.0009	0.0009	0.0000	0.0005	0.0005	0.0000	0.0004	0.0004	0.0000
10	23	41	48	0.3233	14	4	0	1	2	0	0	1	1	0	2	2	3	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	0.0000	inf	19089.7940	0.0019	2935730.1349	3.7864	0.0183	541.8609	21287.2194	0.0000	3300051.9406	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10176420.5270		0.0002	0.0000	17.9840	2.9893	3.0000	3.0031	19.5942	2.0138	3.0000	6.6616	2.8877	0.0000	2.8877	0.0001	0.0000	0.0001	2.8877	0.0000	2.8877	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0002	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
