DE151  cranolopha
DE88   latituba
DE509  davidii
DE504  oxycarpa
DE671  armata
DE737  chinensis
DE696  longiflora
DE550  mussotii
DE541  tenuituba
DE510  rex
DE561  cyathophylla
DE523  fetisowii
DE69   przwalskii
JJ85   bella
DE519  macrosiphon
JJ125  axillaris
DE528  kansuensus
DE680  semitorta
DE681  anas
DE554  densispica
DE666  pectinatiformis
DE115  cephalantha
DE126  lutescens
DE546  urceolata
DE668  metaszetschuanica
DE152  integrifolia
DE566  batangensis
JJ74   mollis
DE536  lachnoglossa
JJ15   ingens
JJ131  longicaulis
SRR11934227	outgroup
DRR082665	outgroup
SRR11748982	outgroup
SRR5150740	outgroup
SRR104381	outgroup
DRR234970	outgroup
