name	pink	yellow	beak	tube	red	fork
DE229.*	0	1	1	0	0	0
DE575.*	0	1	1	0	0	0
DE765.*	0	1	1	0	0	0
DE681.*	1	0	1	0	0	0
DE643.*	0	1	1	1	1	0
DE671.*	0	1	1	1	1	0
JJ125.*	1	0	1	0	0	0
DE566.*	1	0	1	1	0	0
JJ85.*	1	0	1	0	0	0
DE672.*	0	1	1	1	0	0
DE127.*	0	0	0	0	0	0
DE115.*	1	0	1	1	0	0
DE737.*	0	1	1	1	0	0
JJ86.*	1	0	1	0	0	0
DE542.*	1	0	1	0	0	0
DE151.*	0	1	1	1	0	1
DE173.*	0	1	1	1	0	0
DE189.*	0	1	1	1	0	1
JJ109.*	1	1	1	1	0	0
DE561.*	1	0	1	1	0	0
SRR3424066.*	1	0	1	1	0
SRR3407086.*	1	0	0	1	0
DE181.*	1	0	0	1	0	0
DE509.*	1	0	1	0	0	0
DE164.*	1	0	1	1	0	0
DE476.*	1	0	1	1	0	0
DE554.*	1	1	0	0	0	0
JJ23.*	1	0	1	0	0	0
DE523.*	1	0	1	0	0	0
JJ89.*	1	0	1	0	0	0
DE216.*	0	1	0	0	0	0
JJ15.*	0	1	0	0	0	0
DE152.*	1	0	1	0	0	0
DE507.*	1	0	0	0	0	0
DE528.*	0	0	0	0	0	0
DE704-white.*	0	0	0	0	0	0
DE704-purple.*	1	0	0	0	0	0
DE162.*	0	1	0	0	0	0
DRR082660.*	0	0	1	0	0	0
DE536.*	1	0	1	0	0	0
DE88.*	1	0	1	1	0	0
JJ131.*	1	0	1	0	0	0
DE531.*	0	1	1	1	1	0
DE696-nodots.*	0	1	1	1	0	0
DE696-dots.*	0	1	1	1	1	0
JJ36.*	0	1	1	1	1	0
DE126.*	0	1	0	0	0	0
DE519.*	1	0	1	1	0	0
DE741.*	1	0	1	1	0	0
DE668.*	1	0	0	0	0	0
JJ74.*	1	0	0	0	0	0
DE550.*	1	0	1	0	0	1	0
DE504.*	1	0	1	0	0	0
DE666.*	1	0	1	0	0	0
SRR3407095.*	1	0	1	1	0	0
DE69.*	1	0	1	1	0	0
DE563.*	1	0	0	0	0	0
DE503.*	0	1	0	0	0	0
DE505.*	0	0	0	0	0	0
DE510.*	1	0	0	0	0	0
SRR3407087.*	1	0	0	0	0	0
SRR3407094.*	0	1	0	0	0	0
SRR3407092.*	0	1	0	0	0	0
SRR3407093.*	0	1	0	0	0	0
DE560.*	1	0	1	0	0	0
DE534.*	1	0	1	0	0	0
JJ99.*	1	0	1	0	0	0
DE623.*	1	0	1	0	0	0
DE680.*	0	1	1	0	0	0
DE541.*	1	0	1	1	0	0
DE549.*	1	0	1	0	0	0
SRR3407096.*	1	0	1	0	0	0
SRR3407088.*	1	0	1	0	0	0
DE736.*	1	1	1	0	0	0
DE764.*	1	0	1	0	0	0
JJ130.*	0	1	1	1	0	0
DE546.*	1	0	1	1	0	0
SRR5150740.*	0	0	0	0	0	0
SRR11934227.*	0	0	0	0	0	0
DRR082665.*	0	0	0	1	0	0
DRR234970.*	0	0	0	0	0	0
SRR11748982.*	0	0	0	0	0	0
SRR104381.*	0	0	0	0	0	0
